,Security,Description,Category,Subcategory
,HFRIAWRV Index,HFRI Relative Value Total Asset Weighted Index,Index/Stats,Fund Indices
,HFRIFCLV Index,HFRI FOF: Low Vol (C) Strategy Weighted Index,Index/Stats,Fund Indices
,HFRIFFHV Index,HFRI FOF: High Vol (S) Index,Index/Stats,Fund Indices
,HFRIFFLV Index,HFRI FOF: Low Vol (S) Index,Index/Stats,Fund Indices
,HFRIFFMV Index,HFRI FOF: Mid Vol (S) Index,Index/Stats,Fund Indices
,HFRIFFRM Index,HFRI FOF: Risk Mitigation (S) Index,Index/Stats,Fund Indices
,HFRIIEDM Index,HFRI-I Liquid Alternative UCITS ED: Merger Arbitrage Index,Index/Stats,Fund Indices
,HFRIIEDS Index,HFRI-I Liquid Alternative UCITS ED: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRIIEFG Index,HFRI-I Liquid Alternative UCITS EH: Fundamental Growth Index,Index/Stats,Fund Indices
,HFRIIEFV Index,HFRI-I Liquid Alternative UCITS EH: Fundamental Value Index,Index/Stats,Fund Indices
,HFRIIEMN Index,HFRI-I Liquid Alternative UCITS EH: Equity Market Neutral Index,Index/Stats,Fund Indices
,HFRIIEMS Index,HFRI-I Liquid Alternative UCITS EH: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRIIFIC Index,HFRI-I Liquid Alternative UCITS RV: Fixed Income-Corporate Index,Index/Stats,Fund Indices
,HFRIIFIS Index,HFRI-I Liquid Alternative UCITS RV: Fixed Income-Sovereign Index,Index/Stats,Fund Indices
,HFRIILED Index,HFRI-I Liquid Alternative UCITS Event Driven Index,Index/Stats,Fund Indices
,HFRIIMMS Index,HFRI-I Liquid Alternative UCITS Macro: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRIIMSD Index,HFRI-I Liquid Alternative UCITS Macro: Systematic Diversified Index,Index/Stats,Fund Indices
,HFRIIND Index,HFRI Emerging Markets India Index,Index/Stats,Fund Indices
,HFRIIRMS Index,HFRI-I Liquid Alternative UCITS RV: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRIMACT Index,HFRI Macro Active Trading Index,Index/Stats,Fund Indices
,HFRINA Index,HFRI North America Index,Index/Stats,Fund Indices
,HFRINED Index,HFRI Institutional Event-Driven Index,Index/Stats,Fund Indices
,HFRINEDD Index,HFRI Institutional Event Driven Directional Index,Index/Stats,Fund Indices
,HFRINELD Index,HFRI Institutional EH: Long/Short Directional Index,Index/Stats,Fund Indices
,HFRINFWC Index,HFRI Institutional Fund Weighted Composite Index,Index/Stats,Fund Indices
,HFRINM Index,HFRI Institutional Macro Index,Index/Stats,Fund Indices
,HFRINMDD Index,HFRI Institutional Macro: Discretionary Directional Index,Index/Stats,Fund Indices
,HFRINMSD Index,HFRI Institutional Macro: Systematic Directional Index,Index/Stats,Fund Indices
,HFRINMTF Index,HFRI Institutional Trend Following Directional Index,Index/Stats,Fund Indices
,HFRINRFD Index,HFRI Institutional RV: Fixed Income Directional Index,Index/Stats,Fund Indices
,HFRINRVA Index,HFRI Institutional Relative Value Index,Index/Stats,Fund Indices
,HFRINSWC Index,HFRI Institutional Strategy Weighted Composite Index,Index/Stats,Fund Indices
,HFRISEN Index,HFRI EH Sector Energy/Basic Materials Index,Index/Stats,Fund Indices
,HFRIWEU Index,HFRI Western/Pan Europe Index,Index/Stats,Fund Indices
,HFRIWOMN Index,HFRI Women Index,Index/Stats,Fund Indices
,ASHILQU ID Equity,ASI HFRI-I Liquid Alternatives UCITS Fund Class Q USD (Dublin),Funds,Open Ended Funds
,HDG5DMZ KY Equity,abrdn Eclipse Strategy SPC - abrdn Eclipse HFRI 500 Discretionary Macro SP Class Z (CSX),Funds,Fund of Funds
,HDG5FIZ KY Equity,abrdn Eclipse Strategy SPC - abrdn Eclipse HFRI 500 Fixed Income RV SP Class Z (CSX),Funds,Fund of Funds
,HDG5SMZ KY Equity,abrdn Eclipse Strategy SPC - abrdn Eclipse HFRI 500 Systematic Macro SP Class Z (CSX),Funds,Fund of Funds
,HDG5MNZ KY Equity,abrdn Eclipse Strategy SPC - abrdn Eclipse HFRI 500 Equity Market Neutral SP Class Z (CSX),Funds,Fund of Funds
,ASLAUXU ID Equity,ASI HFRI-I Liquid Alternatives UCITS Fund Class X USD ACC (Dublin),Funds,Open Ended Funds
,HDG5MAZ KY Equity,abrdn Eclipse Strategy SPC - abrdn Eclipse HFRI 500 Merger Arbitrage SP Class Z (CSX),Funds,Fund of Funds
,2062967D US Equity,Hfri LLC,Equities,Stocks
,ASIHLAX ID Equity,ASI HFRI-I Liquid Alternatives UCITS Fund Class X EUR (Dublin),Funds,Open Ended Funds
,ASLAUQH ID Equity,ASI HFRI-I Liquid Alternatives UCITS Fund Class Q HEDGED GBP ACC (Dublin),Funds,Open Ended Funds
,ASLAUWE ID Equity,ASI HFRI-I Liquid Alternatives UCITS Fund Class W EUR ACC (Dublin),Funds,Open Ended Funds
,ASLAUWH ID Equity,ASI HFRI-I Liquid Alternatives UCITS Fund Class W HDG EUR ACC (Dublin),Funds,Open Ended Funds
,EHTRAXF US Equity,Benchmark Plus Long Short Partners LP Class HFRI EQUITY HEDGETRAX SLEEVE (U.S.),Funds,Fund of Funds
,HDG500A KY Equity,abrdn Eclipse SPC - abrdn Eclipse HFRI 500 SP Class A (CSX),Funds,Fund of Funds
,HDG500B KY Equity,abrdn Eclipse SPC - abrdn Eclipse HFRI 500 SP Class B (CSX),Funds,Fund of Funds
,HDG500F KY Equity,abrdn Eclipse SPC - abrdn Eclipse HFRI 500 SP Class F (CSX),Funds,Fund of Funds
,HDG5EDZ KY Equity,abrdn Eclipse Strategy SPC- abrdn Eclipse HFRI 500 Event Driven Multi-Strategy S Class Z (CSX),Funds,Fund of Funds
,HDG5VLZ KY Equity,abrdn Eclipse Strategy SPC - abrdn Eclipse HFRI 500 Volatility RV SP Class Z (CSX),Funds,Fund of Funds
