,Security,Description,Category,Subcategory
,EHFI167 Index,Eurekahedge Latin American Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI168 Index,Eurekahedge Latin American Offshore Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI170 Index,Eurekahedge Latin American Offshore Distressed Debt Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI172 Index,Eurekahedge Latin American Offshore Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI173 Index,Eurekahedge Latin American Offshore Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI174 Index,Eurekahedge Latin American Offshore Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI175 Index,Eurekahedge Latin American Offshore Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI176 Index,Eurekahedge Latin American Offshore Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI183 Index,Eurekahedge Latin American Onshore Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI184 Index,Eurekahedge Latin American Onshore Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI185 Index,Eurekahedge Latin American Onshore Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI19 Index,Eurekahedge Asia Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI192 Index,Eurekahedge Medium Asian Hedge Fund Index US$50m - US$250m,Index/Stats,Miscellaneous Indices
,EHFI195 Index,Eurekahedge Medium Latin American Hedge Fund Index US$250m - US$75m,Index/Stats,Miscellaneous Indices
,EHFI196 Index,Eurekahedge Medium North American Hedge Fund Index US$100m - US$500m,Index/Stats,Miscellaneous Indices
,EHFI199 Index,Eurekahedge North America Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI201 Index,Eurekahedge North America CTA Managed Futures Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI204 Index,Eurekahedge North America Distressed Debt Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI209 Index,Eurekahedge North America Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI211 Index,Eurekahedge North America Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI215 Index,Eurekahedge North America Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI219 Index,Eurekahedge North America Relative Value Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI225 Index,Eurekahedge Small Asian Hedge Fund Index < US$50m,Index/Stats,Miscellaneous Indices
,EHFI228 Index,Eurekahedge Small Latin American Hedge Fund Index < US$25m,Index/Stats,Miscellaneous Indices
,EHFI229 Index,Eurekahedge Small North American Hedge Fund Index < US$100m,Index/Stats,Miscellaneous Indices
,EHFI245 Index,Eurekahedge Emerging Markets Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI246 Index,Eurekahedge Emerging Markets Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
